HD,Vmag,U-B,B-V,V-R,R-I,V-Rc,Rc-Ic,u_mag,g_mag,r_mag,i_mag,z_mag,Star Name,Identity,SAO,FK5,Magnitude,Spectral class,pm_RA,pm_Dec,RA,Dec
98262,3.49,1.55,1.40,1.06,0.70,0.74,0.64,7.40,4.17,2.98,2.57,2.34,Alula Borealis,Nu Ursae Majoris,62486,425,3.48,K3-IIIBa0.3,-0.026,0.028,169.6197361,33.0943086
133208,3.50,0.71,0.97,0.65,0.44,0.45,0.42,6.03,3.94,3.21,3.02,2.93,Nekkar,Beta Bodtis,45337,555,3.5,G8IIIaBa0.3Fe-0.5,-0.041,-0.028,225.4865100,40.3905669
69267,3.53,1.77,1.48,1.12,0.78,0.78,0.71,7.78,4.25,2.99,2.50,2.22,Tarf,Beta Cancri,116569,312,3.52,K4IIIBa0.5,-0.044,-0.049,124.1288375,9.1855439
210418,3.55,0.10,0.07,0.05,0.04,0.02,0.05,4.76,3.49,3.65,3.81,3.95,Baham,Theta Pegasi,127340,834,3.53,A2Vp,0.276,0.027,332.5499386,6.1978633
56986,3.53,0.04,0.34,0.35,0.19,0.22,0.20,4.81,3.62,3.48,3.50,3.55,Wasat,Delta Geminorum,79294,279,3.53,F2IV,-0.026,-0.012,110.0307492,21.9823161
28305,3.54,0.87,1.01,nan,nan,nan,nan,6.31,4.00,3.19,nan,nan,Ain,Epsilon Tauri,93954,164,3.53,G9.5IIICN0.5,0.107,-0.038,67.1541617,19.1804292
23249,,,,,,,,,,,,,Rana,Delta Eridani,130686,135,3.54,K0+IV,-0.092,0.745,55.8120000,-9.7633333
36861,,,,,,,,,,,,,Heka,Lambda Orionis,112921,,3.54,O8III((f)),0.0,-0.006,83.7845000,9.9341667
36861,,,,,,,,,,,,,Meissa,Lambda Orionis,112921,,3.54,O8III((f)),0.0,-0.006,83.7845000,9.9341667
192947,3.58,0.69,0.95,0.69,0.47,0.49,0.43,6.07,4.01,3.28,3.07,2.97,Giedi,Alpha Capricorni,163427,761,3.57,G8IIIb,0.064,0.004,304.5135664,-12.5448522
